# Based on the WLTC drive cycle,
# see #1264 for discussion and how to use this drive cycle,
# time [s],Power [W]
77.3,1.784638851
77.4,1.788824387
77.5,1.793012907
77.6,1.797204415
77.7,1.801398919
77.8,1.805596423
77.9,1.809796934
78,1.814000457
78.1,0.892692347
78.2,0.893274732
78.3,0.893857306
78.4,0.894440069
78.5,0.895023021
78.6,0.895606162
78.7,0.896189492
78.8,0.896773011
78.9,0.89735672
79,0.897940618
79.1,-0.130782656
79.2,-0.130846802
79.3,-0.130910104
79.4,-0.130972564
79.5,-0.131034182
79.6,-0.131094959
79.7,-0.131154897
79.8,-0.131213996
79.9,-0.131272257
80,-0.131329681
80.1,-0.13138627
80.2,-0.131442024
80.3,-0.131496944
80.4,-0.131551032
80.5,-0.131604287
80.6,-0.131656712
80.7,-0.131708307
80.8,-0.131759073
80.9,-0.131809012
81,-0.131858123
81.1,-0.881956413
81.2,-0.879721249
81.3,-0.877481357
81.4,-0.875236748
81.5,-0.872987438
81.6,-0.87073344
81.7,-0.868474767
81.8,-0.866211433
81.9,-0.863943452
82,-0.861670838
82.1,0.105423623
82.2,0.105165145
82.3,0.10490707
82.4,0.104649399
82.5,0.104392131
82.6,0.104135266
82.7,0.103878803
82.8,0.103622743
82.9,0.103367084
83,0.103111828
83.1,0.102856972
83.2,0.102602518
83.3,0.102348465
83.4,0.102094811
83.5,0.101841559
83.6,0.101588706
83.7,0.101336252
83.8,0.101084198
83.9,0.100832543
84,0.100581286
84.1,-0.439796337
84.2,-0.439154709
84.3,-0.438511066
84.4,-0.437865412
84.5,-0.437217753
84.6,-0.43656809
84.7,-0.435916429
84.8,-0.435262775
84.9,-0.434607129
85,-0.433949498
85.1,-0.233355078
85.2,-0.233194429
85.3,-0.233032668
85.4,-0.232869798
85.5,-0.232705819
85.6,-0.232540735
85.7,-0.232374545
85.8,-0.232207253
85.9,-0.232038859
86,-0.231869366
86.1,-0.330017326
86.2,-0.329621295
86.3,-0.329223776
86.4,-0.32882477
86.5,-0.328424281
86.6,-0.328022311
86.7,-0.327618864
86.8,-0.327213941
86.9,-0.326807546
87,-0.326399681
87.1,-0.036735751
87.2,-0.036836536
87.3,-0.036936844
87.4,-0.037036674
87.5,-0.037136028
87.6,-0.037234904
87.7,-0.037333305
87.8,-0.03743123
87.9,-0.037528681
88,-0.037625657
88.1,-1.839938535
88.2,-1.828272221
88.3,-1.81659043
88.4,-1.804893259
88.5,-1.793180804
88.6,-1.781453162
88.7,-1.76971043
88.8,-1.757952704
88.9,-1.74618008
89,-1.734392655
89.1,-3.729415482
89.2,-3.676203736
89.3,-3.622934717
89.4,-3.569609197
89.5,-3.516227948
89.6,-3.462791742
89.7,-3.409301353
89.8,-3.355757551
89.9,-3.30216111
90,-3.248512801
90.1,-3.709750034
90.2,-3.63745117
90.3,-3.565086839
90.4,-3.492658223
90.5,-3.420166502
90.6,-3.347612858
90.7,-3.274998471
90.8,-3.202324524
90.9,-3.129592198
91,-3.056802672
91.1,-2.80802553
91.2,-2.74344329
91.3,-2.678813178
91.4,-2.614136186
91.5,-2.549413306
91.6,-2.484645529
91.7,-2.419833847
91.8,-2.354979252
91.9,-2.290082736
92,-2.22514529
92.1,-1.161910892
92.2,-1.142712148
92.3,-1.123501228
92.4,-1.104278306
92.5,-1.085043556
92.6,-1.065797153
92.7,-1.04653927
92.8,-1.027270082
92.9,-1.007989762
93,-0.988698485
93.1,-0.739376404
93.2,-0.727889702
93.3,-0.716396512
93.4,-0.704896919
93.5,-0.693391007
93.6,-0.681878861
93.7,-0.670360565
93.8,-0.658836204
93.9,-0.647305861
94,-0.635769622
94.1,-0.849379069
94.2,-0.828486545
94.3,-0.80758431
94.4,-0.786672555
94.5,-0.765751476
94.6,-0.744821266
94.7,-0.723882118
94.8,-0.702934225
94.9,-0.681977781
95,-0.66101298
95.1,-0.735074916
95.2,-0.707513337
95.3,-0.679941757
95.4,-0.65236046
95.5,-0.624769733
95.6,-0.597169861
95.7,-0.569561127
95.8,-0.541943818
95.9,-0.514318219
96,-0.486684615
96.1,-0.296911203
96.2,-0.285236752
96.3,-0.273559038
96.4,-0.261878146
96.5,-0.250194162
96.6,-0.238507168
96.7,-0.226817251
96.8,-0.215124493
96.9,-0.20342898
97,-0.191730796
97.1,-0.107014427
97.2,-0.102694312
97.3,-0.098373192
97.4,-0.094051091
97.5,-0.089728029
97.6,-0.085404029
97.7,-0.081079112
97.8,-0.076753301
97.9,-0.072426616
98,-0.068099079
98.1,-0.1055155
98.2,-0.093798287
98.3,-0.082079193
98.4,-0.070358304
98.5,-0.058635705
98.6,-0.046911478
98.7,-0.03518571
98.8,-0.023458485
98.9,-0.011729887
99,0
99.1,0
99.2,0
99.3,0
99.4,0
99.5,0
99.6,0
99.7,0
99.8,0
99.9,0
100,0
100.1,0
100.2,0
100.3,0
100.4,0
100.5,0
100.6,0
100.7,0
100.8,0
100.9,0
101,0
101.1,0
101.2,0
101.3,0
101.4,0
101.5,0
101.6,0
101.7,0
101.8,0
101.9,0
102,0
102.1,0
102.2,0
102.3,0
102.4,0
102.5,0
102.6,0
102.7,0
102.8,0
102.9,0
103,0
103.1,0
103.2,0
103.3,0
103.4,0
103.5,0
103.6,0
103.7,0
103.8,0
103.9,0
104,0
104.1,0
104.2,0
104.3,0
104.4,0
104.5,0
104.6,0
104.7,0
104.8,0
104.9,0
105,0
105.1,0
105.2,0
105.3,0
105.4,0
105.5,0
105.6,0
105.7,0
105.8,0
105.9,0
106,0
106.1,0
106.2,0
106.3,0
106.4,0
106.5,0
106.6,0
106.7,0
106.8,0
106.9,0
107,0
107.1,0
107.2,0
107.3,0
107.4,0
107.5,0
107.6,0
107.7,0
107.8,0
107.9,0
108,0
108.1,0
108.2,0
108.3,0
108.4,0
108.5,0
108.6,0
108.7,0
108.8,0
108.9,0
109,0
109.1,0
109.2,0
109.3,0
109.4,0
109.5,0
109.6,0
109.7,0
109.8,0
109.9,0
110,0
110.1,0
110.2,0
110.3,0
110.4,0
110.5,0
110.6,0
110.7,0
110.8,0
110.9,0
111,0
111.1,0
111.2,0
111.3,0
111.4,0
111.5,0
111.6,0
111.7,0
111.8,0
111.9,0
112,0
112.1,0
112.2,0
112.3,0
112.4,0
112.5,0
112.6,0
112.7,0
112.8,0
112.9,0
113,0
113.1,0
113.2,0
113.3,0
113.4,0
113.5,0
113.6,0
113.7,0
113.8,0
113.9,0
114,0
114.1,0
114.2,0
114.3,0
114.4,0
114.5,0
114.6,0
114.7,0
114.8,0
114.9,0
115,0
115.1,0
115.2,0
115.3,0
115.4,0
115.5,0
115.6,0
115.7,0
115.8,0
115.9,0
116,0
116.1,0
116.2,0
116.3,0
116.4,0
116.5,0
116.6,0
116.7,0
116.8,0
116.9,0
117,0
117.1,0
117.2,0
117.3,0
117.4,0
117.5,0
117.6,0
117.7,0
117.8,0
117.9,0
118,0
118.1,0
118.2,0
118.3,0
118.4,0
118.5,0
118.6,0
118.7,0
118.8,0
118.9,0
119,0
119.1,0
119.2,0
119.3,0
119.4,0
119.5,0
119.6,0
119.7,0
119.8,0
119.9,0
120,0
120.1,0
120.2,0
120.3,0
120.4,0
120.5,0
120.6,0
120.7,0
120.8,0
120.9,0
121,0
121.1,0
121.2,0
121.3,0
121.4,0
121.5,0
121.6,0
121.7,0
121.8,0
121.9,0
122,0
122.1,0
122.2,0
122.3,0
122.4,0
122.5,0
122.6,0
122.7,0
122.8,0
122.9,0
123,0
123.1,0
123.2,0
123.3,0
123.4,0
123.5,0
123.6,0
123.7,0
123.8,0
123.9,0
124,0
124.1,0
124.2,0
124.3,0
124.4,0
124.5,0
124.6,0
124.7,0
124.8,0
124.9,0
125,0
125.1,0
125.2,0
125.3,0
125.4,0
125.5,0
125.6,0
125.7,0
125.8,0
125.9,0
126,0
126.1,0
126.2,0
126.3,0
126.4,0
126.5,0
126.6,0
126.7,0
126.8,0
126.9,0
127,0
127.1,0
127.2,0
127.3,0
127.4,0
127.5,0
127.6,0
127.7,0
127.8,0
127.9,0
